aqi,day,hour,main_pollutant,name_1,name_2
32,2018年10月10日,110000,―,北京市,北京市
45,2018年10月10日,120000,―,天津市,天津市
61,2018年10月10日,130100,PM10,石家庄市,石家庄市
47,2018年10月10日,130200,―,唐山市,唐山市
37,2018年10月10日,130300,―,秦皇岛市,秦皇岛市
70,2018年10月10日,130400,PM10,邯郸市,邯郸市
74,2018年10月10日,130500,PM10,邢台市,邢台市
55,2018年10月10日,130600,PM10,保定市,保定市
29,2018年10月10日,130800,―,承德市,承德市
49,2018年10月10日,130900,―,沧州市,沧州市
48,2018年10月10日,131000,―,廊坊市,廊坊市
51,2018年10月10日,131100,PM10,衡水市,衡水市
37,2018年10月10日,131200,―,张家口市,张家口市
77,2018年10月10日,140100,PM10,太原市,太原市
54,2018年10月10日,140200,PM10,大同市,大同市
64,2018年10月10日,140300,PM10,阳泉市,阳泉市
54,2018年10月10日,140400,PM10,长治市,长治市
64,2018年10月10日,140500,PM10,晋城市,晋城市
72,2018年10月10日,140600,PM10,朔州市,朔州市
59,2018年10月10日,140700,PM10,晋中市,晋中市
57,2018年10月10日,140800,PM10,运城市,运城市
48,2018年10月10日,140900,―,忻州市,忻州市
55,2018年10月10日,141000,PM10,临汾市,临汾市
59,2018年10月10日,141100,PM10,吕梁市,吕梁市
44,2018年10月10日,150100,―,呼和浩特市,呼和浩特市
39,2018年10月10日,150200,―,包头市,包头市
52,2018年10月10日,150300,PM10,乌海市,乌海市
21,2018年10月10日,150400,―,赤峰市,赤峰市
36,2018年10月10日,150500,―,通辽市,通辽市
40,2018年10月10日,150600,―,鄂尔多斯市,鄂尔多斯市
34,2018年10月10日,150700,―,呼伦贝尔市,呼伦贝尔市
57,2018年10月10日,150800,PM10,巴彦淖尔市,巴彦淖尔市
38,2018年10月10日,150900,―,乌兰察布市,乌兰察布市
37,2018年10月10日,152200,―,兴安盟,兴安盟
29,2018年10月10日,152500,―,锡林郭勒盟,锡林郭勒盟
54,2018年10月10日,152900,O3,阿拉善盟,阿拉善盟
35,2018年10月10日,210100,―,沈阳市,沈阳市
26,2018年10月10日,210200,―,大连市,大连市
23,2018年10月10日,210281,―,瓦房店市,瓦房店市
53,2018年10月10日,210300,PM10,鞍山市,鞍山市
30,2018年10月10日,210400,―,抚顺市,抚顺市
31,2018年10月10日,210500,―,本溪市,本溪市
22,2018年10月10日,210600,―,丹东市,丹东市
25,2018年10月10日,210700,―,锦州市,锦州市
29,2018年10月10日,210800,―,营口市,营口市
26,2018年10月10日,210900,―,阜新市,阜新市
48,2018年10月10日,211000,―,辽阳市,辽阳市
29,2018年10月10日,211100,―,盘锦市,盘锦市
28,2018年10月10日,211200,―,铁岭市,铁岭市
26,2018年10月10日,211300,―,朝阳市,朝阳市
30,2018年10月10日,211400,―,葫芦岛市,葫芦岛市
28,2018年10月10日,220100,―,长春市,长春市
22,2018年10月10日,220200,―,吉林市,吉林市
22,2018年10月10日,220300,―,四平市,四平市
24,2018年10月10日,220400,―,辽源市,辽源市
21,2018年10月10日,220500,―,通化市,通化市
20,2018年10月10日,220600,―,白山市,白山市
34,2018年10月10日,220700,―,松原市,松原市
25,2018年10月10日,220800,―,白城市,白城市
26,2018年10月10日,222400,―,延边州,延边州
38,2018年10月10日,230100,―,哈尔滨市,哈尔滨市
35,2018年10月10日,230200,―,齐齐哈尔市,齐齐哈尔市
37,2018年10月10日,230300,―,鸡西市,鸡西市
36,2018年10月10日,230400,―,鹤岗市,鹤岗市
53,2018年10月10日,230500,PM10,双鸭山市,双鸭山市
27,2018年10月10日,230600,―,大庆市,大庆市
26,2018年10月10日,230700,―,伊春市,伊春市
39,2018年10月10日,230800,―,佳木斯市,佳木斯市
60,2018年10月10日,230900,PM10,七台河市,七台河市
22,2018年10月10日,231000,―,牡丹江市,牡丹江市
26,2018年10月10日,231100,―,黑河市,黑河市
32,2018年10月10日,231200,―,绥化市,绥化市
30,2018年10月10日,232700,―,大兴安岭地区,大兴安岭地区
42,2018年10月10日,310000,―,上海市,上海市
51,2018年10月10日,320100,PM10,南京市,南京市
52,2018年10月10日,320200,PM10,无锡市,无锡市
48,2018年10月10日,320281,―,江阴市,江阴市
52,2018年10月10日,320282,NO2,宜兴市,宜兴市
68,2018年10月10日,320300,PM10,徐州市,徐州市
43,2018年10月10日,320400,―,常州市,常州市
44,2018年10月10日,320481,―,溧阳市,溧阳市
48,2018年10月10日,320482,―,金坛市,金坛市
52,2018年10月10日,320500,PM10,苏州市,苏州市
46,2018年10月10日,320581,―,常熟市,常熟市
51,2018年10月10日,320582,PM10,张家港市,张家港市
45,2018年10月10日,320583,―,昆山市,昆山市
58,2018年10月10日,320584,PM10,吴江市,吴江市
46,2018年10月10日,320585,―,太仓市,太仓市
42,2018年10月10日,320600,―,南通市,南通市
46,2018年10月10日,320684,―,海门市,海门市
40,2018年10月10日,320700,―,连云港市,连云港市
52,2018年10月10日,320800,PM10,淮安市,淮安市
39,2018年10月10日,320900,―,盐城市,盐城市
38,2018年10月10日,321000,―,扬州市,扬州市
38,2018年10月10日,321100,―,镇江市,镇江市
61,2018年10月10日,321183,PM10,句容市,句容市
44,2018年10月10日,321200,―,泰州市,泰州市
44,2018年10月10日,321300,―,宿迁市,宿迁市
53,2018年10月10日,330100,PM10,杭州市,杭州市
52,2018年10月10日,330183,PM10,富阳市,富阳市
59,2018年10月10日,330185,PM10,临安市,临安市
55,2018年10月10日,330200,NO2,宁波市,宁波市
42,2018年10月10日,330300,―,温州市,温州市
46,2018年10月10日,330400,―,嘉兴市,嘉兴市
43,2018年10月10日,330500,―,湖州市,湖州市
46,2018年10月10日,330681,―,诸暨市,诸暨市
44,2018年10月10日,330700,―,金华市,金华市
49,2018年10月10日,330782,―,义乌市,义乌市
52,2018年10月10日,330800,PM2.5,衢州市,衢州市
44,2018年10月10日,330900,―,舟山市,舟山市
56,2018年10月10日,331000,PM10,台州市,台州市
55,2018年10月10日,331100,O3,丽水市,丽水市
52,2018年10月10日,331300,PM10,绍兴市,绍兴市
54,2018年10月10日,340100,PM10,合肥市,合肥市
54,2018年10月10日,340200,PM10,芜湖市,芜湖市
55,2018年10月10日,340300,PM10,蚌埠市,蚌埠市
61,2018年10月10日,340400,PM10,淮南市,淮南市
53,2018年10月10日,340500,PM10,马鞍山市,马鞍山市
57,2018年10月10日,340600,PM10,淮北市,淮北市
59,2018年10月10日,340700,PM10,铜陵市,铜陵市
55,2018年10月10日,340800,PM10,安庆市,安庆市
49,2018年10月10日,341000,―,黄山市,黄山市
48,2018年10月10日,341100,―,滁州市,滁州市
65,2018年10月10日,341200,PM10,阜阳市,阜阳市
56,2018年10月10日,341300,PM10,宿州市,宿州市
60,2018年10月10日,341500,PM10,六安市,六安市
58,2018年10月10日,341600,PM10,亳州市,亳州市
53,2018年10月10日,341700,PM10,池州市,池州市
51,2018年10月10日,341800,PM10,宣城市,宣城市
58,2018年10月10日,350100,O3,福州市,福州市
69,2018年10月10日,350200,O3,厦门市,厦门市
75,2018年10月10日,350300,O3,莆田市,莆田市
63,2018年10月10日,350400,PM2.5,三明市,三明市
73,2018年10月10日,350500,O3,泉州市,泉州市
76,2018年10月10日,350600,O3,漳州市,漳州市
56,2018年10月10日,350700,PM10,南平市,南平市
59,2018年10月10日,350800,PM2.5,龙岩市,龙岩市
44,2018年10月10日,350900,―,宁德市,宁德市
64,2018年10月10日,360100,PM10,南昌市,南昌市
67,2018年10月10日,360200,PM2.5,景德镇市,景德镇市
64,2018年10月10日,360300,PM2.5,萍乡市,萍乡市
58,2018年10月10日,360400,PM10,九江市,九江市
61,2018年10月10日,360500,PM10,新余市,新余市
80,2018年10月10日,360600,PM2.5,鹰潭市,鹰潭市
62,2018年10月10日,360700,O3,赣州市,赣州市
64,2018年10月10日,360800,PM2.5,吉安市,吉安市
56,2018年10月10日,360900,PM10,宜春市,宜春市
63,2018年10月10日,361000,PM2.5,抚州市,抚州市
