aqi,co,day,hour,main_pollutant,name_1,name_2,no2,o3,pm10,pm25,so2
25,0.3,2018年10月11日05时,110000,―,北京市,北京市,49,5,24,7,2
28,0.5,2018年10月11日05时,120000,―,天津市,天津市,41,17,28,12,6
83,0.9,2018年10月11日05时,130100,PM10,石家庄市,石家庄市,73,2,115,46,15
51,0.9,2018年10月11日05时,130200,PM10,唐山市,唐山市,45,13,52,29,45
34,0.4,2018年10月11日05时,130300,―,秦皇岛市,秦皇岛市,48,8,34,17,14
74,1.0,2018年10月11日05时,130400,PM10,邯郸市,邯郸市,71,7,97,32,66
75,0.6,2018年10月11日05时,130500,PM10,邢台市,邢台市,60,3,99,36,15
58,0.5,2018年10月11日05时,130600,PM10,保定市,保定市,51,6,65,28,7
27,0.4,2018年10月11日05时,130800,―,承德市,承德市,30,12,27,8,7
55,0.6,2018年10月11日05时,130900,PM2.5,沧州市,沧州市,57,8,54,39,17
34,0.5,2018年10月11日05时,131000,―,廊坊市,廊坊市,58,7,34,13,4
94,0.7,2018年10月11日05时,131100,PM2.5,衡水市,衡水市,57,4,114,70,17
18,0.3,2018年10月11日05时,131200,―,张家口市,张家口市,13,36,18,12,7
71,0.8,2018年10月11日05时,140100,PM10,太原市,太原市,62,7,91,28,25
52,2.5,2018年10月11日05时,140200,PM10,大同市,大同市,32,8,54,17,20
78,0.8,2018年10月11日05时,140300,PM10,阳泉市,阳泉市,53,9,106,46,20
59,1.0,2018年10月11日05时,140400,PM10,长治市,长治市,30,40,67,26,13
76,1.9,2018年10月11日05时,140500,PM10,晋城市,晋城市,47,45,101,45,28
91,0.9,2018年10月11日05时,140600,PM10,朔州市,朔州市,50,6,132,31,28
70,1.0,2018年10月11日05时,140700,PM10,晋中市,晋中市,64,6,89,40,18
67,2.4,2018年10月11日05时,140800,PM10,运城市,运城市,76,11,83,34,21
50,0.6,2018年10月11日05时,140900,―,忻州市,忻州市,53,5,50,15,45
68,0.9,2018年10月11日05时,141000,PM10,临汾市,临汾市,65,9,85,27,30
64,0.7,2018年10月11日05时,141100,PM10,吕梁市,吕梁市,60,5,78,18,14
48,0.7,2018年10月11日05时,150100,―,呼和浩特市,呼和浩特市,52,6,48,15,9
