aqi,co,day,hour,main_pollutant,name_1,name_2,no2,o3,pm10,pm25,so2
34,0.3,2018年10月11日18时,110000,―,北京市,北京市,35,48,34,11,2
33,0.4,2018年10月11日18时,120000,―,天津市,天津市,33,48,33,11,4
77,0.7,2018年10月11日18时,130100,PM10,石家庄市,石家庄市,42,88,104,42,14
50,0.4,2018年10月11日18时,130200,―,唐山市,唐山市,41,40,50,21,12
30,0.6,2018年10月11日18时,130300,―,秦皇岛市,秦皇岛市,27,60,30,14,13
67,0.4,2018年10月11日18时,130400,PM10,邯郸市,邯郸市,33,84,84,24,12
71,0.4,2018年10月11日18时,130500,PM10,邢台市,邢台市,42,78,92,39,15
40,0.4,2018年10月11日18时,130600,―,保定市,保定市,32,61,40,20,7
48,1.0,2018年10月11日18时,130800,―,承德市,承德市,58,16,48,13,16
62,0.6,2018年10月11日18时,130900,"PM10,PM2.5",沧州市,沧州市,34,97,74,44,15
27,0.3,2018年10月11日18时,131000,―,廊坊市,廊坊市,37,47,27,17,3
63,0.6,2018年10月11日18时,131100,PM10,衡水市,衡水市,29,96,75,36,5
31,0.4,2018年10月11日18时,131200,―,张家口市,张家口市,19,70,31,12,9
67,0.7,2018年10月11日18时,140100,PM10,太原市,太原市,52,65,83,39,15
24,0.8,2018年10月11日18时,140200,―,大同市,大同市,35,47,24,12,16
69,0.7,2018年10月11日18时,140300,PM10,阳泉市,阳泉市,41,75,87,38,14
53,0.8,2018年10月11日18时,140400,PM10,长治市,长治市,23,113,56,29,9
69,0.8,2018年10月11日18时,140500,PM10,晋城市,晋城市,33,130,88,39,15
33,0.5,2018年10月11日18时,140600,―,朔州市,朔州市,19,72,33,10,12
61,0.9,2018年10月11日18时,140700,PM10,晋中市,晋中市,44,82,72,35,14
56,0.6,2018年10月11日18时,140800,PM10,运城市,运城市,18,115,62,29,15
34,0.6,2018年10月11日18时,140900,―,忻州市,忻州市,29,74,34,14,10
70,1.4,2018年10月11日18时,141000,PM10,临汾市,临汾市,44,117,90,40,18
45,1.0,2018年10月11日18时,141100,―,吕梁市,吕梁市,42,68,45,12,19
43,0.5,2018年10月11日18时,150100,―,呼和浩特市,呼和浩特市,33,57,43,15,11
35,0.6,2018年10月11日18时,150200,―,包头市,包头市,35,62,35,20,23
67,1.1,2018年10月11日18时,150300,PM10,乌海市,乌海市,33,99,83,35,31
31,0.6,2018年10月11日18时,150400,―,赤峰市,赤峰市,48,20,31,9,16
50,0.5,2018年10月11日18时,150500,―,通辽市,通辽市,31,46,50,19,5
31,0.6,2018年10月11日18时,150600,―,鄂尔多斯市,鄂尔多斯市,23,81,31,13,9
18,0.4,2018年10月11日18时,150700,―,呼伦贝尔市,呼伦贝尔市,17,56,14,12,4
34,0.6,2018年10月11日18时,150800,―,巴彦淖尔市,巴彦淖尔市,14,98,34,16,6
32,0.2,2018年10月11日18时,150900,―,乌兰察布市,乌兰察布市,29,62,18,22,16
64,0.7,2018年10月11日18时,152200,PM10,兴安盟,兴安盟,57,14,77,19,7
16,0.4,2018年10月11日18时,152500,―,锡林郭勒盟,锡林郭勒盟,18,50,16,2,16
51,0.5,2018年10月11日18时,152900,PM10,阿拉善盟,阿拉善盟,11,128,52,26,14
32,0.6,2018年10月11日18时,210100,―,沈阳市,沈阳市,46,28,32,13,11
20,0.4,2018年10月11日18时,210200,―,大连市,大连市,20,63,16,7,5
22,0.2,2018年10月11日18时,210281,―,瓦房店市,瓦房店市,20,54,22,10,4
49,0.8,2018年10月11日18时,210300,―,鞍山市,鞍山市,32,42,49,26,7
34,0.6,2018年10月11日18时,210400,―,抚顺市,抚顺市,46,26,34,16,10
55,0.6,2018年10月11日18时,210500,PM10,本溪市,本溪市,41,18,60,20,10
29,0.9,2018年10月11日18时,210600,―,丹东市,丹东市,37,28,29,17,14
36,0.5,2018年10月11日18时,210700,―,锦州市,锦州市,30,48,36,9,28
32,0.3,2018年10月11日18时,210800,―,营口市,营口市,31,54,32,13,4
40,0.4,2018年10月11日18时,210900,―,阜新市,阜新市,34,41,40,26,10
42,0.4,2018年10月11日18时,211000,―,辽阳市,辽阳市,38,27,42,15,12
33,0.6,2018年10月11日18时,211100,―,盘锦市,盘锦市,33,45,33,12,11
44,0.7,2018年10月11日18时,211200,―,铁岭市,铁岭市,26,36,44,21,5
43,0.8,2018年10月11日18时,211300,―,朝阳市,朝阳市,40,44,43,15,11
19,0.5,2018年10月11日18时,211400,―,葫芦岛市,葫芦岛市,20,60,18,6,9
